,id,country,league,season,stage,winner
16425,16426,Poland,Poland Ekstraklasa,2010/2011,8,8030
16426,16427,Poland,Poland Ekstraklasa,2010/2011,8,8569
16428,16429,Poland,Poland Ekstraklasa,2010/2011,8,1957
16429,16430,Poland,Poland Ekstraklasa,2010/2011,8,8245
16434,16435,Poland,Poland Ekstraklasa,2010/2011,9,8245
16435,16436,Poland,Poland Ekstraklasa,2010/2011,9,8673
16436,16437,Poland,Poland Ekstraklasa,2010/2011,9,8030
16437,16438,Poland,Poland Ekstraklasa,2010/2011,9,8021
16438,16439,Poland,Poland Ekstraklasa,2010/2011,9,8020
16439,16440,Poland,Poland Ekstraklasa,2010/2011,9,1601
16440,16441,Poland,Poland Ekstraklasa,2010/2011,9,1957
16441,16442,Poland,Poland Ekstraklasa,2011/2012,1,8245
16442,16443,Poland,Poland Ekstraklasa,2011/2012,1,2183
16443,16444,Poland,Poland Ekstraklasa,2011/2012,1,8673
16444,16445,Poland,Poland Ekstraklasa,2011/2012,1,2182
16446,16447,Poland,Poland Ekstraklasa,2011/2012,1,1601
16449,16450,Poland,Poland Ekstraklasa,2011/2012,10,8569
16450,16451,Poland,Poland Ekstraklasa,2011/2012,10,2182
16451,16452,Poland,Poland Ekstraklasa,2011/2012,10,8033
16453,16454,Poland,Poland Ekstraklasa,2011/2012,10,8673
16454,16455,Poland,Poland Ekstraklasa,2011/2012,10,8244
16455,16456,Poland,Poland Ekstraklasa,2011/2012,10,10265
16456,16457,Poland,Poland Ekstraklasa,2011/2012,10,8030
16458,16459,Poland,Poland Ekstraklasa,2011/2012,11,1601
16459,16460,Poland,Poland Ekstraklasa,2011/2012,11,1957
16461,16462,Poland,Poland Ekstraklasa,2011/2012,11,8673
16462,16463,Poland,Poland Ekstraklasa,2011/2012,11,10265
16463,16464,Poland,Poland Ekstraklasa,2011/2012,11,8025
16464,16465,Poland,Poland Ekstraklasa,2011/2012,11,8021
16465,16466,Poland,Poland Ekstraklasa,2011/2012,12,8569
16466,16467,Poland,Poland Ekstraklasa,2011/2012,12,8020
16467,16468,Poland,Poland Ekstraklasa,2011/2012,12,8244
16469,16470,Poland,Poland Ekstraklasa,2011/2012,12,2183
16470,16471,Poland,Poland Ekstraklasa,2011/2012,12,8025
16471,16472,Poland,Poland Ekstraklasa,2011/2012,12,8024
16472,16473,Poland,Poland Ekstraklasa,2011/2012,12,8033
16473,16474,Poland,Poland Ekstraklasa,2011/2012,13,2186
16477,16478,Poland,Poland Ekstraklasa,2011/2012,13,1601
16479,16480,Poland,Poland Ekstraklasa,2011/2012,13,2183
16480,16481,Poland,Poland Ekstraklasa,2011/2012,13,8025
16481,16482,Poland,Poland Ekstraklasa,2011/2012,14,8569
16482,16483,Poland,Poland Ekstraklasa,2011/2012,14,8025
16483,16484,Poland,Poland Ekstraklasa,2011/2012,14,8673
16485,16486,Poland,Poland Ekstraklasa,2011/2012,14,1601
16487,16488,Poland,Poland Ekstraklasa,2011/2012,14,8020
16488,16489,Poland,Poland Ekstraklasa,2011/2012,14,8021
16489,16490,Poland,Poland Ekstraklasa,2011/2012,15,2186
16490,16491,Poland,Poland Ekstraklasa,2011/2012,15,8020
16491,16492,Poland,Poland Ekstraklasa,2011/2012,15,8245
16492,16493,Poland,Poland Ekstraklasa,2011/2012,15,8024
16493,16494,Poland,Poland Ekstraklasa,2011/2012,15,8030
16495,16496,Poland,Poland Ekstraklasa,2011/2012,15,10265
16496,16497,Poland,Poland Ekstraklasa,2011/2012,15,2183
16498,16499,Poland,Poland Ekstraklasa,2011/2012,16,8025
16499,16500,Poland,Poland Ekstraklasa,2011/2012,16,8033
16501,16502,Poland,Poland Ekstraklasa,2011/2012,16,2182
16502,16503,Poland,Poland Ekstraklasa,2011/2012,16,2183
16503,16504,Poland,Poland Ekstraklasa,2011/2012,16,10265
16504,16505,Poland,Poland Ekstraklasa,2011/2012,16,8673
16505,16506,Poland,Poland Ekstraklasa,2011/2012,17,2182
16506,16507,Poland,Poland Ekstraklasa,2011/2012,17,1957
16508,16509,Poland,Poland Ekstraklasa,2011/2012,17,8025
16509,16510,Poland,Poland Ekstraklasa,2011/2012,17,8033
16510,16511,Poland,Poland Ekstraklasa,2011/2012,17,1601
16511,16512,Poland,Poland Ekstraklasa,2011/2012,17,8024
16512,16513,Poland,Poland Ekstraklasa,2011/2012,17,2183
16514,16515,Poland,Poland Ekstraklasa,2011/2012,18,8020
16515,16516,Poland,Poland Ekstraklasa,2011/2012,18,8245
16516,16517,Poland,Poland Ekstraklasa,2011/2012,18,8569
16517,16518,Poland,Poland Ekstraklasa,2011/2012,18,2183
16519,16520,Poland,Poland Ekstraklasa,2011/2012,18,8033
16524,16525,Poland,Poland Ekstraklasa,2011/2012,19,8033
16525,16526,Poland,Poland Ekstraklasa,2011/2012,19,8024
16526,16527,Poland,Poland Ekstraklasa,2011/2012,19,1601
16527,16528,Poland,Poland Ekstraklasa,2011/2012,19,8673
16528,16529,Poland,Poland Ekstraklasa,2011/2012,19,8245
16529,16530,Poland,Poland Ekstraklasa,2011/2012,2,8673
16530,16531,Poland,Poland Ekstraklasa,2011/2012,2,8569
16532,16533,Poland,Poland Ekstraklasa,2011/2012,2,1957
16535,16536,Poland,Poland Ekstraklasa,2011/2012,2,8025
16537,16538,Poland,Poland Ekstraklasa,2011/2012,20,8021
16538,16539,Poland,Poland Ekstraklasa,2011/2012,20,8569
16539,16540,Poland,Poland Ekstraklasa,2011/2012,20,1601
16540,16541,Poland,Poland Ekstraklasa,2011/2012,20,8245
16541,16542,Poland,Poland Ekstraklasa,2011/2012,20,2182
16542,16543,Poland,Poland Ekstraklasa,2011/2012,20,10265
16543,16544,Poland,Poland Ekstraklasa,2011/2012,20,8673
16547,16548,Poland,Poland Ekstraklasa,2011/2012,21,8673
16548,16549,Poland,Poland Ekstraklasa,2011/2012,21,2183
16549,16550,Poland,Poland Ekstraklasa,2011/2012,21,8245
16550,16551,Poland,Poland Ekstraklasa,2011/2012,21,8024
16555,16556,Poland,Poland Ekstraklasa,2011/2012,22,1957
16559,16560,Poland,Poland Ekstraklasa,2011/2012,22,8025
16560,16561,Poland,Poland Ekstraklasa,2011/2012,22,8021
16561,16562,Poland,Poland Ekstraklasa,2011/2012,23,8020
16562,16563,Poland,Poland Ekstraklasa,2011/2012,23,1957
16563,16564,Poland,Poland Ekstraklasa,2011/2012,23,8245
16564,16565,Poland,Poland Ekstraklasa,2011/2012,23,2182
16565,16566,Poland,Poland Ekstraklasa,2011/2012,23,8033
16567,16568,Poland,Poland Ekstraklasa,2011/2012,23,8021
16568,16569,Poland,Poland Ekstraklasa,2011/2012,23,1601
16569,16570,Poland,Poland Ekstraklasa,2011/2012,24,8030
16570,16571,Poland,Poland Ekstraklasa,2011/2012,24,8020
16571,16572,Poland,Poland Ekstraklasa,2011/2012,24,2182
16572,16573,Poland,Poland Ekstraklasa,2011/2012,24,8244
16573,16574,Poland,Poland Ekstraklasa,2011/2012,24,2183
16574,16575,Poland,Poland Ekstraklasa,2011/2012,24,1601
16576,16577,Poland,Poland Ekstraklasa,2011/2012,24,8021
16577,16578,Poland,Poland Ekstraklasa,2011/2012,25,2186
16578,16579,Poland,Poland Ekstraklasa,2011/2012,25,8020
16579,16580,Poland,Poland Ekstraklasa,2011/2012,25,1957
16581,16582,Poland,Poland Ekstraklasa,2011/2012,25,8021
16582,16583,Poland,Poland Ekstraklasa,2011/2012,25,8673
16584,16585,Poland,Poland Ekstraklasa,2011/2012,25,8025
16585,16586,Poland,Poland Ekstraklasa,2011/2012,26,8569
16586,16587,Poland,Poland Ekstraklasa,2011/2012,26,8021
16587,16588,Poland,Poland Ekstraklasa,2011/2012,26,2182
16589,16590,Poland,Poland Ekstraklasa,2011/2012,26,2183
16592,16593,Poland,Poland Ekstraklasa,2011/2012,26,10265
16594,16595,Poland,Poland Ekstraklasa,2011/2012,27,1957
16596,16597,Poland,Poland Ekstraklasa,2011/2012,27,2182
16597,16598,Poland,Poland Ekstraklasa,2011/2012,27,8245
16598,16599,Poland,Poland Ekstraklasa,2011/2012,27,10265
16599,16600,Poland,Poland Ekstraklasa,2011/2012,27,1601
16601,16602,Poland,Poland Ekstraklasa,2011/2012,28,8245
16602,16603,Poland,Poland Ekstraklasa,2011/2012,28,8020
16603,16604,Poland,Poland Ekstraklasa,2011/2012,28,2182
16606,16607,Poland,Poland Ekstraklasa,2011/2012,28,8025
16607,16608,Poland,Poland Ekstraklasa,2011/2012,28,8030
16608,16609,Poland,Poland Ekstraklasa,2011/2012,28,10265
16609,16610,Poland,Poland Ekstraklasa,2011/2012,29,1601
16610,16611,Poland,Poland Ekstraklasa,2011/2012,29,8020
16611,16612,Poland,Poland Ekstraklasa,2011/2012,29,8024
16612,16613,Poland,Poland Ekstraklasa,2011/2012,29,2182
16613,16614,Poland,Poland Ekstraklasa,2011/2012,29,8030
16615,16616,Poland,Poland Ekstraklasa,2011/2012,29,8021
16616,16617,Poland,Poland Ekstraklasa,2011/2012,29,8025
16617,16618,Poland,Poland Ekstraklasa,2011/2012,3,2182
16620,16621,Poland,Poland Ekstraklasa,2011/2012,3,8673
16621,16622,Poland,Poland Ekstraklasa,2011/2012,3,2183
16623,16624,Poland,Poland Ekstraklasa,2011/2012,3,8025
16624,16625,Poland,Poland Ekstraklasa,2011/2012,3,10265
16626,16627,Poland,Poland Ekstraklasa,2011/2012,30,1957
16627,16628,Poland,Poland Ekstraklasa,2011/2012,30,8673
16629,16630,Poland,Poland Ekstraklasa,2011/2012,30,1601
16631,16632,Poland,Poland Ekstraklasa,2011/2012,30,8025
16632,16633,Poland,Poland Ekstraklasa,2011/2012,30,8021
16633,16634,Poland,Poland Ekstraklasa,2011/2012,4,8020
16634,16635,Poland,Poland Ekstraklasa,2011/2012,4,1957
16636,16637,Poland,Poland Ekstraklasa,2011/2012,4,2182
16638,16639,Poland,Poland Ekstraklasa,2011/2012,4,8025
16639,16640,Poland,Poland Ekstraklasa,2011/2012,4,8024
16641,16642,Poland,Poland Ekstraklasa,2011/2012,5,8020
16642,16643,Poland,Poland Ekstraklasa,2011/2012,5,8673
16643,16644,Poland,Poland Ekstraklasa,2011/2012,5,8245
16644,16645,Poland,Poland Ekstraklasa,2011/2012,5,2183
16645,16646,Poland,Poland Ekstraklasa,2011/2012,5,1601
16646,16647,Poland,Poland Ekstraklasa,2011/2012,5,8024
16647,16648,Poland,Poland Ekstraklasa,2011/2012,5,8030
16649,16650,Poland,Poland Ekstraklasa,2011/2012,6,8244
16651,16652,Poland,Poland Ekstraklasa,2011/2012,6,1957
16652,16653,Poland,Poland Ekstraklasa,2011/2012,6,8245
16653,16654,Poland,Poland Ekstraklasa,2011/2012,6,10265
16654,16655,Poland,Poland Ekstraklasa,2011/2012,6,8030
16655,16656,Poland,Poland Ekstraklasa,2011/2012,6,8033
16656,16657,Poland,Poland Ekstraklasa,2011/2012,6,1601
16657,16658,Poland,Poland Ekstraklasa,2011/2012,7,8025
16658,16659,Poland,Poland Ekstraklasa,2011/2012,7,8245
16659,16660,Poland,Poland Ekstraklasa,2011/2012,7,2182
16661,16662,Poland,Poland Ekstraklasa,2011/2012,7,1601
16662,16663,Poland,Poland Ekstraklasa,2011/2012,7,2183
16664,16665,Poland,Poland Ekstraklasa,2011/2012,7,10265
16665,16666,Poland,Poland Ekstraklasa,2011/2012,8,8673
16666,16667,Poland,Poland Ekstraklasa,2011/2012,8,2186
16667,16668,Poland,Poland Ekstraklasa,2011/2012,8,8033
16669,16670,Poland,Poland Ekstraklasa,2011/2012,8,8025
16670,16671,Poland,Poland Ekstraklasa,2011/2012,8,8024
16671,16672,Poland,Poland Ekstraklasa,2011/2012,8,10265
16672,16673,Poland,Poland Ekstraklasa,2011/2012,8,8021
16673,16674,Poland,Poland Ekstraklasa,2011/2012,9,2182
16674,16675,Poland,Poland Ekstraklasa,2011/2012,9,1957
16675,16676,Poland,Poland Ekstraklasa,2011/2012,9,8245
16677,16678,Poland,Poland Ekstraklasa,2011/2012,9,8673
16678,16679,Poland,Poland Ekstraklasa,2011/2012,9,8244
16679,16680,Poland,Poland Ekstraklasa,2011/2012,9,1601
16680,16681,Poland,Poland Ekstraklasa,2011/2012,9,8025
16681,16682,Poland,Poland Ekstraklasa,2012/2013,1,1957
16682,16683,Poland,Poland Ekstraklasa,2012/2013,1,2182
16683,16684,Poland,Poland Ekstraklasa,2012/2013,1,2183
16684,16685,Poland,Poland Ekstraklasa,2012/2013,1,8020
16685,16686,Poland,Poland Ekstraklasa,2012/2013,1,8673
16686,16687,Poland,Poland Ekstraklasa,2012/2013,1,8024
16687,16688,Poland,Poland Ekstraklasa,2012/2013,1,10265
16688,16689,Poland,Poland Ekstraklasa,2012/2013,1,8023
16689,16690,Poland,Poland Ekstraklasa,2012/2013,10,8020
16691,16692,Poland,Poland Ekstraklasa,2012/2013,10,8673
16692,16693,Poland,Poland Ekstraklasa,2012/2013,10,1601
16693,16694,Poland,Poland Ekstraklasa,2012/2013,10,8025
16694,16695,Poland,Poland Ekstraklasa,2012/2013,10,2183
16695,16696,Poland,Poland Ekstraklasa,2012/2013,10,2182
16696,16697,Poland,Poland Ekstraklasa,2012/2013,10,8033
16697,16698,Poland,Poland Ekstraklasa,2012/2013,11,8023
16698,16699,Poland,Poland Ekstraklasa,2012/2013,11,8021
16700,16701,Poland,Poland Ekstraklasa,2012/2013,11,1957
16701,16702,Poland,Poland Ekstraklasa,2012/2013,11,2183
16702,16703,Poland,Poland Ekstraklasa,2012/2013,11,8030
16703,16704,Poland,Poland Ekstraklasa,2012/2013,11,8028
16704,16705,Poland,Poland Ekstraklasa,2012/2013,11,2182
16706,16707,Poland,Poland Ekstraklasa,2012/2013,12,8673
16707,16708,Poland,Poland Ekstraklasa,2012/2013,12,8030
16708,16709,Poland,Poland Ekstraklasa,2012/2013,12,8028
16709,16710,Poland,Poland Ekstraklasa,2012/2013,12,8023
16711,16712,Poland,Poland Ekstraklasa,2012/2013,12,10265
16712,16713,Poland,Poland Ekstraklasa,2012/2013,12,8021
16715,16716,Poland,Poland Ekstraklasa,2012/2013,13,8245
16716,16717,Poland,Poland Ekstraklasa,2012/2013,13,8673
16717,16718,Poland,Poland Ekstraklasa,2012/2013,13,2182
16718,16719,Poland,Poland Ekstraklasa,2012/2013,13,8021
16719,16720,Poland,Poland Ekstraklasa,2012/2013,13,10265
16722,16723,Poland,Poland Ekstraklasa,2012/2013,14,8025
16724,16725,Poland,Poland Ekstraklasa,2012/2013,14,8673
16726,16727,Poland,Poland Ekstraklasa,2012/2013,14,8023
16727,16728,Poland,Poland Ekstraklasa,2012/2013,14,8024
16728,16729,Poland,Poland Ekstraklasa,2012/2013,14,8020
16729,16730,Poland,Poland Ekstraklasa,2012/2013,15,8028
16730,16731,Poland,Poland Ekstraklasa,2012/2013,15,8020
16731,16732,Poland,Poland Ekstraklasa,2012/2013,15,2182
16733,16734,Poland,Poland Ekstraklasa,2012/2013,15,2183
16735,16736,Poland,Poland Ekstraklasa,2012/2013,15,8025
16736,16737,Poland,Poland Ekstraklasa,2012/2013,15,8021
16738,16739,Poland,Poland Ekstraklasa,2012/2013,16,8020
16739,16740,Poland,Poland Ekstraklasa,2012/2013,16,8245
16740,16741,Poland,Poland Ekstraklasa,2012/2013,16,8033
16742,16743,Poland,Poland Ekstraklasa,2012/2013,16,2182
16743,16744,Poland,Poland Ekstraklasa,2012/2013,16,8025
16744,16745,Poland,Poland Ekstraklasa,2012/2013,16,8021
16745,16746,Poland,Poland Ekstraklasa,2012/2013,17,1957
16747,16748,Poland,Poland Ekstraklasa,2012/2013,17,2183
16751,16752,Poland,Poland Ekstraklasa,2012/2013,17,1601
16754,16755,Poland,Poland Ekstraklasa,2012/2013,18,2182
16755,16756,Poland,Poland Ekstraklasa,2012/2013,18,8030
16756,16757,Poland,Poland Ekstraklasa,2012/2013,18,8673
16757,16758,Poland,Poland Ekstraklasa,2012/2013,18,8028
16758,16759,Poland,Poland Ekstraklasa,2012/2013,18,10265
16760,16761,Poland,Poland Ekstraklasa,2012/2013,18,8021
16762,16763,Poland,Poland Ekstraklasa,2012/2013,19,1957
16763,16764,Poland,Poland Ekstraklasa,2012/2013,19,8673
16764,16765,Poland,Poland Ekstraklasa,2012/2013,19,8028
16767,16768,Poland,Poland Ekstraklasa,2012/2013,19,10265
16768,16769,Poland,Poland Ekstraklasa,2012/2013,19,8245
16769,16770,Poland,Poland Ekstraklasa,2012/2013,2,8673
16772,16773,Poland,Poland Ekstraklasa,2012/2013,2,8030
16773,16774,Poland,Poland Ekstraklasa,2012/2013,2,2182
16774,16775,Poland,Poland Ekstraklasa,2012/2013,2,8025
16775,16776,Poland,Poland Ekstraklasa,2012/2013,2,8024
16776,16777,Poland,Poland Ekstraklasa,2012/2013,2,8021
16777,16778,Poland,Poland Ekstraklasa,2012/2013,20,8569
16778,16779,Poland,Poland Ekstraklasa,2012/2013,20,8020
16782,16783,Poland,Poland Ekstraklasa,2012/2013,20,2182
16783,16784,Poland,Poland Ekstraklasa,2012/2013,20,8673
16784,16785,Poland,Poland Ekstraklasa,2012/2013,20,1601
16785,16786,Poland,Poland Ekstraklasa,2012/2013,21,1957
16786,16787,Poland,Poland Ekstraklasa,2012/2013,21,8245
16787,16788,Poland,Poland Ekstraklasa,2012/2013,21,2182
16788,16789,Poland,Poland Ekstraklasa,2012/2013,21,8673
16789,16790,Poland,Poland Ekstraklasa,2012/2013,21,8033
16790,16791,Poland,Poland Ekstraklasa,2012/2013,21,8025
16791,16792,Poland,Poland Ekstraklasa,2012/2013,21,8024
16792,16793,Poland,Poland Ekstraklasa,2012/2013,21,8028
16793,16794,Poland,Poland Ekstraklasa,2012/2013,22,1601
16794,16795,Poland,Poland Ekstraklasa,2012/2013,22,8033
16795,16796,Poland,Poland Ekstraklasa,2012/2013,22,1957
16796,16797,Poland,Poland Ekstraklasa,2012/2013,22,2182
16799,16800,Poland,Poland Ekstraklasa,2012/2013,22,8673
16800,16801,Poland,Poland Ekstraklasa,2012/2013,22,8021
16802,16803,Poland,Poland Ekstraklasa,2012/2013,23,8245
16803,16804,Poland,Poland Ekstraklasa,2012/2013,23,2182
16804,16805,Poland,Poland Ekstraklasa,2012/2013,23,8673
16806,16807,Poland,Poland Ekstraklasa,2012/2013,23,1601
16809,16810,Poland,Poland Ekstraklasa,2012/2013,24,8020
16810,16811,Poland,Poland Ekstraklasa,2012/2013,24,2182
16811,16812,Poland,Poland Ekstraklasa,2012/2013,24,8033
16813,16814,Poland,Poland Ekstraklasa,2012/2013,24,8023
16814,16815,Poland,Poland Ekstraklasa,2012/2013,24,8569
16815,16816,Poland,Poland Ekstraklasa,2012/2013,24,10265
16816,16817,Poland,Poland Ekstraklasa,2012/2013,24,8021
16817,16818,Poland,Poland Ekstraklasa,2012/2013,25,8569
16819,16820,Poland,Poland Ekstraklasa,2012/2013,25,2182
16820,16821,Poland,Poland Ekstraklasa,2012/2013,25,8673
16822,16823,Poland,Poland Ekstraklasa,2012/2013,25,8028
16823,16824,Poland,Poland Ekstraklasa,2012/2013,25,8025
16824,16825,Poland,Poland Ekstraklasa,2012/2013,25,8024
16825,16826,Poland,Poland Ekstraklasa,2012/2013,26,8673
16826,16827,Poland,Poland Ekstraklasa,2012/2013,26,2182
16828,16829,Poland,Poland Ekstraklasa,2012/2013,26,8028
16829,16830,Poland,Poland Ekstraklasa,2012/2013,26,8569
16830,16831,Poland,Poland Ekstraklasa,2012/2013,26,2183
16831,16832,Poland,Poland Ekstraklasa,2012/2013,26,10265
16832,16833,Poland,Poland Ekstraklasa,2012/2013,26,8020
16833,16834,Poland,Poland Ekstraklasa,2012/2013,27,8569
16834,16835,Poland,Poland Ekstraklasa,2012/2013,27,2183
16835,16836,Poland,Poland Ekstraklasa,2012/2013,27,8245
16836,16837,Poland,Poland Ekstraklasa,2012/2013,27,8673
16837,16838,Poland,Poland Ekstraklasa,2012/2013,27,8028
16838,16839,Poland,Poland Ekstraklasa,2012/2013,27,8023
16839,16840,Poland,Poland Ekstraklasa,2012/2013,27,8025
16840,16841,Poland,Poland Ekstraklasa,2012/2013,27,8030
16841,16842,Poland,Poland Ekstraklasa,2012/2013,28,8025
16842,16843,Poland,Poland Ekstraklasa,2012/2013,28,8033
16845,16846,Poland,Poland Ekstraklasa,2012/2013,28,8023
16850,16851,Poland,Poland Ekstraklasa,2012/2013,29,10265
16852,16853,Poland,Poland Ekstraklasa,2012/2013,29,8033
16856,16857,Poland,Poland Ekstraklasa,2012/2013,29,8030
16858,16859,Poland,Poland Ekstraklasa,2012/2013,3,8030
16860,16861,Poland,Poland Ekstraklasa,2012/2013,3,8673
16861,16862,Poland,Poland Ekstraklasa,2012/2013,3,8028
16862,16863,Poland,Poland Ekstraklasa,2012/2013,3,8025
16863,16864,Poland,Poland Ekstraklasa,2012/2013,3,8024
16864,16865,Poland,Poland Ekstraklasa,2012/2013,3,2183
16865,16866,Poland,Poland Ekstraklasa,2012/2013,30,1957
16866,16867,Poland,Poland Ekstraklasa,2012/2013,30,2182
16867,16868,Poland,Poland Ekstraklasa,2012/2013,30,8020
16868,16869,Poland,Poland Ekstraklasa,2012/2013,30,8673
16869,16870,Poland,Poland Ekstraklasa,2012/2013,30,8569
16870,16871,Poland,Poland Ekstraklasa,2012/2013,30,8023
16871,16872,Poland,Poland Ekstraklasa,2012/2013,30,8033
16872,16873,Poland,Poland Ekstraklasa,2012/2013,30,8021
16873,16874,Poland,Poland Ekstraklasa,2012/2013,4,2182
16875,16876,Poland,Poland Ekstraklasa,2012/2013,4,8028
16877,16878,Poland,Poland Ekstraklasa,2012/2013,4,8023
16880,16881,Poland,Poland Ekstraklasa,2012/2013,4,8024
16881,16882,Poland,Poland Ekstraklasa,2012/2013,5,8028
16882,16883,Poland,Poland Ekstraklasa,2012/2013,5,8245
16885,16886,Poland,Poland Ekstraklasa,2012/2013,5,1601
16886,16887,Poland,Poland Ekstraklasa,2012/2013,5,8025
16888,16889,Poland,Poland Ekstraklasa,2012/2013,5,10265
16890,16891,Poland,Poland Ekstraklasa,2012/2013,6,8020
16891,16892,Poland,Poland Ekstraklasa,2012/2013,6,8030
16892,16893,Poland,Poland Ekstraklasa,2012/2013,6,8028
16893,16894,Poland,Poland Ekstraklasa,2012/2013,6,1601
16895,16896,Poland,Poland Ekstraklasa,2012/2013,6,2183
16897,16898,Poland,Poland Ekstraklasa,2012/2013,7,8030
16898,16899,Poland,Poland Ekstraklasa,2012/2013,7,8245
16899,16900,Poland,Poland Ekstraklasa,2012/2013,7,2182
16900,16901,Poland,Poland Ekstraklasa,2012/2013,7,8673
16901,16902,Poland,Poland Ekstraklasa,2012/2013,7,8020
16902,16903,Poland,Poland Ekstraklasa,2012/2013,7,1601
16903,16904,Poland,Poland Ekstraklasa,2012/2013,7,8025
16904,16905,Poland,Poland Ekstraklasa,2012/2013,7,8023
16905,16906,Poland,Poland Ekstraklasa,2012/2013,8,8569
16906,16907,Poland,Poland Ekstraklasa,2012/2013,8,8020
16907,16908,Poland,Poland Ekstraklasa,2012/2013,8,8025
16908,16909,Poland,Poland Ekstraklasa,2012/2013,8,8024
16909,16910,Poland,Poland Ekstraklasa,2012/2013,8,8673
16910,16911,Poland,Poland Ekstraklasa,2012/2013,8,2183
16912,16913,Poland,Poland Ekstraklasa,2012/2013,8,2182
16913,16914,Poland,Poland Ekstraklasa,2012/2013,9,2183
16914,16915,Poland,Poland Ekstraklasa,2012/2013,9,8245
16915,16916,Poland,Poland Ekstraklasa,2012/2013,9,1957
16916,16917,Poland,Poland Ekstraklasa,2012/2013,9,8673
16917,16918,Poland,Poland Ekstraklasa,2012/2013,9,8030
16919,16920,Poland,Poland Ekstraklasa,2012/2013,9,8021
16920,16921,Poland,Poland Ekstraklasa,2012/2013,9,10265
16922,16923,Poland,Poland Ekstraklasa,2013/2014,1,8028
16924,16925,Poland,Poland Ekstraklasa,2013/2014,1,8673
16927,16928,Poland,Poland Ekstraklasa,2013/2014,1,1957
16928,16929,Poland,Poland Ekstraklasa,2013/2014,1,8023
16930,16931,Poland,Poland Ekstraklasa,2013/2014,10,8023
16932,16933,Poland,Poland Ekstraklasa,2013/2014,10,8673
16934,16935,Poland,Poland Ekstraklasa,2013/2014,10,8020
16935,16936,Poland,Poland Ekstraklasa,2013/2014,10,8028
16936,16937,Poland,Poland Ekstraklasa,2013/2014,10,2182
16937,16938,Poland,Poland Ekstraklasa,2013/2014,11,8245
16938,16939,Poland,Poland Ekstraklasa,2013/2014,11,8025
16939,16940,Poland,Poland Ekstraklasa,2013/2014,11,10265
16940,16941,Poland,Poland Ekstraklasa,2013/2014,11,2186
16941,16942,Poland,Poland Ekstraklasa,2013/2014,11,8020
16942,16943,Poland,Poland Ekstraklasa,2013/2014,11,8024
16943,16944,Poland,Poland Ekstraklasa,2013/2014,11,1601
16946,16947,Poland,Poland Ekstraklasa,2013/2014,12,2186
16947,16948,Poland,Poland Ekstraklasa,2013/2014,12,2182
16948,16949,Poland,Poland Ekstraklasa,2013/2014,12,8673
16949,16950,Poland,Poland Ekstraklasa,2013/2014,12,8021
16950,16951,Poland,Poland Ekstraklasa,2013/2014,12,8020
16951,16952,Poland,Poland Ekstraklasa,2013/2014,12,8245
16952,16953,Poland,Poland Ekstraklasa,2013/2014,12,8027
16953,16954,Poland,Poland Ekstraklasa,2013/2014,13,8027
16954,16955,Poland,Poland Ekstraklasa,2013/2014,13,10265
16955,16956,Poland,Poland Ekstraklasa,2013/2014,13,8020
16956,16957,Poland,Poland Ekstraklasa,2013/2014,13,8023
16957,16958,Poland,Poland Ekstraklasa,2013/2014,13,2186
16961,16962,Poland,Poland Ekstraklasa,2013/2014,14,8030
16962,16963,Poland,Poland Ekstraklasa,2013/2014,14,2186
16963,16964,Poland,Poland Ekstraklasa,2013/2014,14,1601
16964,16965,Poland,Poland Ekstraklasa,2013/2014,14,8027
16965,16966,Poland,Poland Ekstraklasa,2013/2014,14,8025
16966,16967,Poland,Poland Ekstraklasa,2013/2014,14,10265
16967,16968,Poland,Poland Ekstraklasa,2013/2014,14,1957
16968,16969,Poland,Poland Ekstraklasa,2013/2014,14,8023
16969,16970,Poland,Poland Ekstraklasa,2013/2014,15,1601
16970,16971,Poland,Poland Ekstraklasa,2013/2014,15,8245
16971,16972,Poland,Poland Ekstraklasa,2013/2014,15,8025
16972,16973,Poland,Poland Ekstraklasa,2013/2014,15,8673
16973,16974,Poland,Poland Ekstraklasa,2013/2014,15,8024
16974,16975,Poland,Poland Ekstraklasa,2013/2014,15,8028
16976,16977,Poland,Poland Ekstraklasa,2013/2014,15,2182
16977,16978,Poland,Poland Ekstraklasa,2013/2014,16,2182
16979,16980,Poland,Poland Ekstraklasa,2013/2014,16,8033
16980,16981,Poland,Poland Ekstraklasa,2013/2014,16,8673
16981,16982,Poland,Poland Ekstraklasa,2013/2014,16,8020
16985,16986,Poland,Poland Ekstraklasa,2013/2014,17,1957
16987,16988,Poland,Poland Ekstraklasa,2013/2014,17,8673
16988,16989,Poland,Poland Ekstraklasa,2013/2014,17,10265
16989,16990,Poland,Poland Ekstraklasa,2013/2014,17,8028
16990,16991,Poland,Poland Ekstraklasa,2013/2014,17,8027
16991,16992,Poland,Poland Ekstraklasa,2013/2014,17,8020
16992,16993,Poland,Poland Ekstraklasa,2013/2014,17,2182
16993,16994,Poland,Poland Ekstraklasa,2013/2014,18,8030
16994,16995,Poland,Poland Ekstraklasa,2013/2014,18,8245
16996,16997,Poland,Poland Ekstraklasa,2013/2014,18,8028
16997,16998,Poland,Poland Ekstraklasa,2013/2014,18,8033
16999,17000,Poland,Poland Ekstraklasa,2013/2014,18,1601
17000,17001,Poland,Poland Ekstraklasa,2013/2014,18,10265
